Title,Publisher,Imprint,Publication Year,Editor/ Author,ISBN,Awards,Subject,Description,USD List Price,Single-User Restriction,Title Phase,Predicted Release Quarter,Multi-Site Sales Restricted,Geographic Sales Regions,Corp URL,Edition ID#
Pagans and Christians in Late Antiquity: A Sourcebook,Taylor & Francis,Routledge,2016,"Lee, A. D.",978-1-13-802031-3,,Religion & Theology - Christianity,"In Pagans and Christians in Late Antiquity, A.D. Lee documents the transformation of the religious landscape of the Roman world from one of enormous diversity of religious practices and creeds in the 3rd century to a situation where, by the 6th century, Christianity had become the dominant religious force.",$135 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/12206,12206
Preaching the Word: Proverbs: Wisdom that Works,Crossway,Crossway,2012,"Ortlund Jr., Raymond C.",978-1-58134-883-5,,Religion & Theology - Christianity,"Pastor and teacher Ray Ortlund unpacks the book of Proverbs in twenty-one straightforward sermons, providing a biblical worldview on everything from money, sex, and power to that of the daily routines of an average life.",$42 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8035,8035
Puritans and Puritanism in Europe and America: A Comprehensive Encyclopedia,ABC-CLIO,ABC-CLIO,2005,"Editors: Bremer, Francis J. and Webster, Tom",978-1-57607-678-1,"Doody's Core Title, RCL Recipient in 2012 (Same title)",Religion & Theology - Christianity,"This exhaustive treatment of the Puritan movement covers its doctrines, its people, its effects on politics and culture, and its enduring legacy in modern Britain and America. Contains biographical sketches, primary sources, and entries on relevant subjects.",$287 ,FALSE,Live,,Sales to Multi-Site Not Permitted,No Restrictions,corp.credoreference.com/component/booktracker/edition/1419,1419
Preaching the Word: Revelation: The Spirit Speaks to the Churches,Crossway,Crossway,2012,"Hamilton Jr., James M.",978-1-4335-0541-6,,Religion & Theology - Christianity,"Useful for personal study, as well as for preaching and teaching, the thirty-seven sermons in this volume have a clear structure and even include helpful charts and tables to highlight key themes and literary elements.",$52 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8036,8036
"Rise of Christianity, The: History, Documents, and Key Questions",ABC-CLIO,ABC-CLIO,2015,"Kaatz, Kevin W.",978-1-61-069807-8,,Religion & Theology - Christianity,"The breadth of materials in this resource enables readers to learn about early Christianity from a number of different viewpoints and to come to their own conclusions about how historical events unfolded in early Christianity. This work focuses on the first four centuries of early Christianity, including topics on Jerusalem, Herod the Great, Paul, Tertullian, Mani, The Arians, Constantine the Great, and many others.",$95 ,FALSE,Live,,Sales to Multi-Site Not Permitted,No Restrictions,corp.credoreference.com/component/booktracker/edition/12194,12194
Roman Catholic Theology and Practice: An Evangelical Assessment,Crossway,Crossway,2014,"Allison, Gregg R.",978-1-4335-0116-6,,Religion & Theology - Christianity,"In Roman Catholic Theology and Practice, Gregg Allison, an evangelical theologian and church historian, helps readers understand the nuances of Roman Catholic teaching. Walking readers through the official Catechism of the Catholic Church, Allison summarizes and assesses Catholic doctrine from the perspective of both scripture and evangelical theology.",$42 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/9858,9858
The Basics: Roman Catholicism: The Basics,Taylor & Francis,Routledge,2016,"Walsh, Michael",978-0-41-584499-4,,Religion & Theology - Christianity,"From the most basic terms to the structures and practices of the Church, this book offers a plain-speaking introduction to Roman Catholicism. Now in a second edition, it contains new sections on relations with other faiths, coverage of recent controversies in the Church and an expanded section on social teaching.",$115 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/11816,11816
The Routledge Guides to the Great Books: Routledge Guidebook to Augustine's Confessions,Taylor & Francis,Routledge,2016,"Conybeare, Catherine",978-1-13-884797-2,,Religion & Theology - Christianity,"The Routledge Guidebook to Augustine's Confessions is an engaging introduction to this spiritually creative and intellectually original work. Written for readers approaching the Confessions for the first time, this guidebook addresses the literary, philosophical, historical and theological complexities of the work in a clear and accessible way.",$140 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/11818,11818
Ashgate Research Companions: The Ashgate Research Companion to John Owen's Theology,Taylor & Francis,Ashgate Publishing,2012,"Kapic, Kelly M. and Jones, Mark",978-1-4094-3488-7,RCL Recipient,Religion & Theology - Christianity,"As a revival in Owen studies and reprints has taken place, this much-needed companion by an international group of leading scholars, helpfully explores key questions related to Owen's method, theology, and pastoral practice. Examining his thought through such topics as his epic work on the Holy Spirit, his developed view of faith and reason, and his contribution to the place of toleration, this book offers an authoritative exploration of one of Britain's greatest theologians.",$67 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4487,4487
The Ashgate Research Companion to the Counter-Reformation,Taylor & Francis,Ashgate Publishing,2013,"Editors: Bamji, Alexandra, Janssen, Geert H. and Laven, Mary",978-1-4094-2374-4,,Religion & Theology - Christianity,"Reflecting the variety and innovation that characterize studies of early modern Catholicism today, this volume incorporates topics as diverse as life cycle and community, science and the senses, the performing and visual arts, material objects and print culture, war and the state, sacred landscapes and urban structures.",$263 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4456,4456
The Ashgate Research Companion to World Methodism,Taylor & Francis,Ashgate Publishing,2013,"Forsaith, Peter and Gibson, William",978-1-4094-0138-4,Doody's Core Title,Religion & Theology - Christianity,"Leading scholars examine a range of themes including: the origins and genesis of Methodism; the role and significance of John Wesley; Methodismâ€™s emergence within the international and transatlantic evangelical revival of the Eighteenth-Century; the evolution and growth of Methodism as a separate denomination in Britain; its expansion and influence in the early years of the United States of America; Methodistsâ€™ roles in a range of philanthropic and social movements including the abolition of slavery, education and temperance; the character of Methodism as both conservative and radical; its growth in other cultures and societies; the role of women as leaders in Methodism, both acknowledged and resisted; the worldwide spread of Methodism and its enculturation in America, Asia and Africa; the development of distinctive Methodist theologies in the last three centuries; its role as a progenitor of the Holiness and Pentecostal movements, and the engagement of Methodists with other denominations and faiths across the world. This major companion presents an invaluable resource for scholars worldwide; particularly those in the UK, North America, Asia and Latin America.",$278 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/5693,5693
Blackwell Companions to Religion: The Blackwell Companion to Catholicism,Wiley,Blackwell Publishers,2011,"Editors: Buckley, James, Bauerschmidt, Frederick Christian and Pomplun, Trent",978-1-4443-3732-7,OAT and RCL recipient,Religion & Theology - Christianity,"Offers an extensive survey of the history, doctrine, practices, and global circumstances of Roman Catholicism, written by a range of distinguished and experienced Catholic writers.",$81 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/3592,3592
Wiley-Blackwell Companions to Religion: The Blackwell Companion to Christian Ethics,Wiley,Wiley,2011,"Hauerwas, Stanley and Wells, Samuel",978-1-4443-3134-9,,Religion & Theology - Christianity,"Featuring updates, revisions, and new essays from various scholars within the Christian tradition, The Blackwell Companion to Christian Ethics, Second Edition reveals how Christian worship is the force that shapes the moral life of Christians. -Features new essays on class, race, disability, gender, peace, and the virtues - The innovative and influential approach organizes ethical themes around the shape of Christian worship",$336 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4631,4631
Wiley-Blackwell Companions to Religion: The Blackwell Companion to Christian Spirituality,Wiley,Wiley,2005,"Holder, Arthur",978-1-4051-0247-6,RCL recipient,Religion & Theology - Christianity,"The Blackwell Companion to Christian Spirituality is a comprehensive single-volume introduction to Christian spirituality, and represents the most significant recent developments in the field.",$351 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4634,4634
Blackwell Companions to Religion: The Blackwell Companion to Eastern Christianity,Wiley,Blackwell Publishers,2010,"Editor: Parry, Ken",978-1-4443-3361-9,RCL recipient,Religion & Theology - Christianity,"Offers an unparalleled survey of the history, theology, doctrine, worship, art, culture and politics that make up the churches of Eastern Christianity.",$85 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/3593,3593
Blackwell Companions to Religion: The Blackwell Companion to Jesus,Wiley,Blackwell Publishers,2010,"Editor: Burkett, Delbert",978-1-4051-9362-7,,Religion & Theology - Christianity,Features a comprehensive collection of essays that explore the diverse ways in which Jesus has been imagined or portrayed from the beginnings of Christianity to the present day.,$81 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/3595,3595
Wiley-Blackwell Companions to Religion: The Blackwell Companion to Paul,Wiley,Wiley,2011,"Westerholm, Stephen",978-1-4051-8844-9,RCL Recoginition,Religion & Theology - Christianity,"The Blackwell Companion to Paul presents a distinctive dual focus approach that encompasses both the historical Paul and the history of Paul's influence. In doing so, expert contributors successfully address the interests of students of early Christianity and those of Christian theology. Offers a complete overview of the life, writings and legacy of one of the key figures of Christianity. The essays compass the major themes of Paul's life and work, as well as his impact through the centuries on theology, Church teaching, social beliefs, art, literature, and contemporary intellectual thought Edited by one of the leading figures in the field of Pauline Studies.",$129 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4778,4778
Wiley-Blackwell Companions to Religion: The Blackwell Companion to Protestantism,Wiley,Wiley,2003,"McGrath, Alister E. and Marks, Darren C.",978-0-631-23278-0,RCL Recipient,Religion & Theology - Christianity,"This Companion brings together new contributions from internationally renowned scholars in order to examine the past, present and future of Protestantism. Co-edited by leading Protestant theologians Alister E. McGrath and Darren C. Marks, with contributions from internationally renowned scholars. Opens with an investigation into the formation of Protestant identity across Europe, North America, Asia, Australasia and Africa. Includes coverage of leading Protestant thinkers, such as Luther, Calvin, Schleiermacher and Barth. Considers the interaction of Protestantism with different areas of modern life, including the arts, politics, the law and science. Debates the future of Protestantism in both Western and non-Western settings.",$343 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4804,4804
Wiley-Blackwell Companions to Religion: The Blackwell Companion to the Bible in English Literature,Wiley,Wiley,2009,"Lemon, Rebecca, Mason, Emma and Roberts, Jonathan, et.al.",978-1-4051-3160-5,,Religion & Theology - Christianity,"This Companion explores the Bible's role and influence on individual writers, whilst tracing the key developments of Biblical themes and literary theory through the ages. - An ambitious overview of the Bible's impact on English literature â€“ as arguably the most powerful work of literature in history â€“ from the medieval period through to the twentieth-century - Includes introductory sections to each period giving background information about the Bible as a source text in English literature, and placing writers in their historical context - Draws on examples from medieval, early-modern, eighteenth-century and Romantic, Victorian, and Modernist literature - Includes many 'secular' or 'anti-clerical' writers alongside their 'Christian' contemporaries, revealing how the Bible's text shifts and changes in the writing of each author who reads and studies it",$343 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4611,4611
Wiley-Blackwell Companions to Religion: The Blackwell Companion to The New Testament,Wiley,Wiley,2010,"Aune, David E.",978-1-4051-0825-6,,Religion & Theology - Christianity,"The Blackwell Companion to the New Testament is a detailed introduction to the New Testament, written by more than 40 scholars from a variety of Christian denominations. Treats the 27 books and letters of the New Testament systematically. Considers the historical, social and cultural contexts in which the New Testament was produced, exploring relevant linguistic and textual issues. An international contributor list of over 40 scholars represent wide field expertise and a variety of Christian denominations. Distinctive features include a unified treatment of Luke through Acts, articles on the canonical Gospels, and a discussion of the apocryphal New Testament.",$79 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4770,4770
Lives of Great Religious Books: The Book of Common Prayer: A Biography,Princeton University Press,Princeton University Press,2013,"Jacobs, Alan",978-0-69-115481-7,RCL Recipient,Religion & Theology - Christianity,The Book of Common Prayer - from its beginnings as a means of social and political control in the England of Henry VIII to its worldwide presence today - became a venerable work whose cadences express the heart of religious life for many.,$70 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/9296,9296
Lives of Great Religious Books: The Book of Genesis: A Biography,Princeton University Press,Princeton University Press,2012,"Hendel, Ronald",978-0-691-14012-4,RCL recipient,Religion & Theology - Christianity,"From debates about slavery, gender, and sexuality to the struggles over creationism and evolution, Genesis has shaped our world and continues to do so today. This wide-ranging account tells the remarkable story of the life of Genesis like no other book.",$47 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4118,4118
The Book of Job: A Biography,Princeton University Press,Princeton University Press,2013,"Larrimore, Mark",978-0-69-114759-8,RCL Recipient,Religion & Theology - Christianity,"The book of Job raises stark questions about the nature and meaning of innocent suffering and the relationship of the human to the divine, yet it is also one of the Bible's most obscure and paradoxical books, one that defies interpretation even today. Mark Larrimore provides a panoramic history of this remarkable book, traversing centuries and traditions to examine how Job's trials and his challenge to God have been used and understood in diverse contexts, from commentary and liturgy to philosophy and art.",$70 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/9295,9295
Lives of Great Religious Books: The Book of Mormon: A Biography,Princeton University Press,Princeton University Press,2012,"Gutjahr, Paul C.",978-0-691-14480-1,RCL recipient,Religion & Theology - Christianity,"Gutjahr shows how Smith's influential book launched one of the fastest growing new religions on the planet, and has featured in everything from comic books and action figures to feature-length films and an award-winning Broadway musical.",$70 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4119,4119
The Early Christian World,Taylor & Francis,Routledge,2017,"Editor: Esler, Philip F.",978-1-13-820007-4,,Religion & Theology - Christianity,"The Early Christian World has come to be regarded by scholars, students and the general reader as one of the most informative and accessible works in English on the origins, development, character and major figures of early Christianity.",$225 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/12220,12220
The Encyclopedia of Christian Civilization,Wiley,Wiley,2012,"Kurian, George Thomas",978-1-4051-5762-9,,Religion & Theology - Christianity,"The Encyclopedia of Christian Civilization is a comprehensive reference work on the history and impact of Christianity. Over 1,400 entries provide an in-depth and dynamic look at Christianity both through its history and the way it has shaped societies around the world. Through a clear and attractive format, a series of interlocking major themes is explored, including: key theological ideas; global and regional history; worship; society and Christianity; literature; music; art; architecture; education; politics; law, and scholarship. Uniting these themes is an understanding of Christianity as a truly global phenomenon with strong denominational and regional identities. Together they present a wealth of current research in a clear, concise, and attractive format. The Encyclopedia of Christian Civilization is an essential reference for students, researchers, academics, and practitioners.","$1,125 ",FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4900,4900
The Encyclopedia of Eastern Orthodox Christianity,Wiley,Wiley,2010,"McGuckin, John Anthony",978-1-4051-8539-4,OAT and RCL recipient,Religion & Theology - Christianity,"With a combination of essay-length and short entries written by a team of leading religious experts, the Encyclopedia of Eastern Orthodoxy offers the most comprehensive guide to the cultural and intellectual world of Eastern Orthodox Christianity available in English today. An outstanding reference work providing an account of the key historical, liturgical, doctrinal features of Eastern Orthodoxy, including the Non-Chalcedonian churches. Explores of the major traditions of Eastern Orthodoxy in detail, including the Armenian, Byzantine, Coptic, Ethiopic, Slavic, Romanian, Syriac churches. Uniquely comprehensive, it is edited by one of the leading scholars in the field and provides authoritative but accessible articles by a range of top international academics and Orthodox figures. Spans the period from Late Antiquity to the present, encompassing subjects including history, theology, liturgy, monasticism, sacramentology, canon law, philosophy, folk culture, architecture, archaeology, martyrology, hagiography, all alongside a large and generously detailed prosopography.",$681 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4904,4904
The Epistle to the Ephesians,"Kingsley Books, Inc","Kingsley Books, Inc",2012,"Bruce, F.F",978-0-7554-9848-2,RCL Recipient,Religion & Theology - Christianity,A thorough verse-by-verse exposition of Pauls letter to the Ephesians.,$23 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/5975,5975
The Open Your Bible New Testament Commentary,"Kingsley Books, Inc","Kingsley Books, Inc",2014,"Bruce, F. F., Blaiklock, E. M. and Lane, William L., et.al.",978-1909680-02-9,,Religion & Theology - Christianity,"The Open Your Bible Commentary was written to encourage daily Bible study. Each reading is short, but the content is rich with careful explanation, devotional warmth, and practical relevance. Its four great strengths are that it is accessible, digestible, dependable, and practical.",$56 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/10484,10484
Routledge Religion Companions: The Routledge Companion to Early Christian Thought,Taylor & Francis,Routledge,2009,"Editor: Bingham, D. Jeffrey",978-0-415-44225-1,,Religion & Theology - Christianity,"Bringing together a remarkable team of distinguished scholars, The Routledge Companion to Early Christian Thought is the ideal companion for those seeking to understand the way in which early Christian thought developed within its broader cultural milieu and was communicated through its literature, especially as it was directed toward theological concerns.",$225 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/3213,3213
Routledge Religion Companions: The Routledge Companion to the Christian Church,Taylor & Francis,Routledge,2010,"Editors: Mannion, Gerard and Mudge, Lewis S.",978-0-415-37420-0,,Religion & Theology - Christianity,"It introduces students to the fundamental historical, systematic, moral and ecclesiological aspects of the study of the church, as well as serving as a resource for scholars engaging in ecclesiological debates on a wide variety of issues. Divided into six parts, the book gives a comprehensive overview of the Christian church, including: the church in its historical context, denominational traditions, global perspectives, methods and debates in ecclesiology, key concepts and themes, and ecclesiology and other disciplines: the social sciences and philosophy.",$225 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/3205,3205
The Routledge Guidebook to The New Testament,Taylor & Francis,Routledge,2017,"Gray, Patrick",978-0-41-572903-1,,Religion & Theology - Christianity,"The Routledge Guidebook to the New Testament offers an academic introduction to the New Testament. With further reading suggestions, this guidebook is essential reading for all students of religion and philosophy, and all those wishing to engage with this important work.",$140 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/11919,11919
Wiley-Blackwell Companions to Religion: The Wiley-Blackwell Companion to Christian Mysticism,Wiley,Wiley,2012,"Lamm, Julia A.",978-1-4443-3286-5,LJ winner,Religion & Theology - Christianity,"The Wiley-Blackwell Companion to Christian Mysticism brings together a team of leading international scholars to explore the origins, evolution, and contemporary debates relating to Christian mystics, texts, and the movements they inspired.",$333 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4632,4632
Wiley-Blackwell Companions to Religion: The Wiley-Blackwell Companion to Practical Theology,Wiley,Wiley,2011,"Miller-McLemore, Bonnie J.",978-1-4443-3082-3,Recommended by Choice (ALA),Religion & Theology - Christianity,"Through a series of essays contributed by leading experts in the field, The Wiley-Blackwell Companion to Practical Theology presents an introduction to practical theology as a major area of Christian study and practice, including an overview of its key developments, themes, methods, and future directions. The first comprehensive reference work to provide a survey, description and analysis of practical theology as an area of study. A range of leading scholars in the field provide original contributions on the major areas, issues, and figures in practical theology. Reviews an extensive range of methods for studying theology in practice, along with sub-disciplines in theological education such as pastoral care and preaching. Covers developments in the discipline in a range of global contexts and distinct Christian traditions. Shows how practical theology is relevant to everyday life.",$321 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4805,4805
The Wiley-Blackwell Companion to the Anglican Communion,Wiley,Wiley,2013,"Editors: Markham, Ian S., Hawkins, J. Barney and Terry, Justyn, et.al.",978-0-47-065634-1,,Religion & Theology - Christianity,"This uniquely comprehensive reference work provides a global account of the history, expansion, diversity, and contemporary issues facing the Anglican Communion, the worldwide body that includes all followers of the Anglican faith.",$301 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/9143,9143
Lives of Great Religious Books: Thomas Aquinas's Summa Theologiae: A Biography,Princeton University Press,Princeton University Press,2014,"McGinn, Bernard",978-0-691-15426-8,RCL Recipient,Religion & Theology - Christianity,"This concise book tells the story of the most important theological work of the Middle Ages, the vast Summa theologiae of Thomas Aquinas, which holds a unique place in Western religion and philosophy. Written between 1266 and 1273, the Summa was conceived by Aquinas as an instructional guide for teachers and novices and a compendium of all the approved teachings of the Catholic Church.",$70 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/9784,9784
